"ID","age","value"
"1.3.1","Program Level","0.5"
"1.3.1","Program Differences","2"
"1.3.1","Effeciency","13.93"
"1.3.1","Program Time","0.77"
"1.3.1","Itergration","3.48"
"1.3.1","Bug","0"
"1.3.1","Number of Exit Points","1"
"1.3.1","Number of Statements","2"
"1.3.1","Number of Structuring Levels","1"
"1.3.1","Number of Unconditional Jumps","0"
"1.3.1","Number of Go to Statements","0"
"1.3.1","Number of Decision Statements","0"
"1.3.1","Average Statement Size","1.5"
"1.3.1","Language Scope","0.6"
"1.3.1","Number of Function Parameters","1"
"1.3.1","Number of Calling Functions","0"
"1.3.1","Number of Called Functions","0"
"1.3.1","Cyclomatic Complexity","1"
"1.3.1","Number of Entry Points","1"
"1.4.1","Number of Distinct Operators","4"
"1.4.1","Number of Distinct Operands","7"
"1.4.1","Number of Operator Occurrences","12"
"1.4.1","Number of Operand Occurrences","9"
"1.4.1","Component Length","21"
"1.4.1","Component Volume","72.64"
"1.4.1","Vocabulary Size","11"
"1.4.1","Program Level","0.38"
"1.4.1","Program Differences","2.57"
"1.4.1","Effeciency","186.8"
"1.4.1","Program Time","10.37"
"1.4.1","Itergration","28.25"
"1.4.1","Bug","0.02"
"1.4.1","Number of Exit Points","1"
"1.4.1","Number of Statements","5"
"1.4.1","Number of Structuring Levels","1"
"1.4.1","Number of Unconditional Jumps","0"
"1.4.1","Number of Go to Statements","0"
"1.4.1","Number of Decision Statements","0"
"1.4.1","Average Statement Size","4.19"
"1.4.1","Language Scope","1.9"
"1.4.1","Number of Function Parameters","0"
"1.4.1","Number of Calling Functions","0"
"1.4.1","Number of Called Functions","0"
"1.4.1","Cyclomatic Complexity","1"
"1.4.1","Number of Entry Points","1"
"1.4.2","Number of Distinct Operators","5"
"1.4.2","Number of Distinct Operands","7"
"1.4.2","Number of Operator Occurrences","11"
"1.4.2","Number of Operand Occurrences","9"
"1.4.2","Component Length","20"
"1.4.2","Component Volume","71.69"
"1.4.2","Vocabulary Size","12"
"1.4.2","Program Level","0.31"
"1.4.2","Program Differences","3.21"
"1.4.2","Effeciency","230.46"
"1.4.2","Program Time","12.8"
"1.4.2","Itergration","22.3"
"1.4.2","Bug","0.02"
"1.4.2","Number of Exit Points","1"
"1.4.2","Number of Statements","3"
"1.4.2","Number of Structuring Levels","1"
"1.4.2","Number of Unconditional Jumps","0"
"1.4.2","Number of Go to Statements","0"
"1.4.2","Number of Decision Statements","0"
"1.4.2","Average Statement Size","6.66"
"1.4.2","Language Scope","1.66"
"1.4.2","Number of Function Parameters","0"
"1.4.2","Number of Calling Functions","0"
"1.4.2","Number of Called Functions","0"
"1.4.2","Cyclomatic Complexity","1"
"1.4.2","Number of Entry Points","1"
"1.5.1","Number of Distinct Operators","8"
"1.5.1","Number of Distinct Operands","5"
"1.5.1","Number of Operator Occurrences","7"
"1.5.1","Number of Operand Occurrences","5"
"1.5.1","Component Length","12"
"1.5.1","Component Volume","44.4"
"1.5.1","Vocabulary Size","13"
"1.5.1","Program Level","0.25"
"1.5.1","Program Differences","4"
"1.5.1","Effeciency","177.62"
"1.5.1","Program Time","9.86"
"1.5.1","Itergration","11.1"
"1.5.1","Bug","0.01"
"1.5.1","Number of Exit Points","1"
"1.5.1","Number of Statements","3"
"1.5.1","Number of Structuring Levels","1"
"1.5.1","Number of Unconditional Jumps","0"
"1.5.1","Number of Go to Statements","0"
"1.5.1","Number of Decision Statements","0"
"1.5.1","Average Statement Size","4"
"1.5.1","Language Scope","0.92"
"1.5.1","Number of Function Parameters","0"
"1.5.1","Number of Calling Functions","0"
"1.5.1","Number of Called Functions","0"
"1.5.1","Cyclomatic Complexity","1"
"1.5.1","Number of Entry Points","1"
"1.6.1","Number of Distinct Operators","4"
"1.6.1","Number of Distinct Operands","4"
"1.6.1","Number of Operator Occurrences","6"
"1.6.1","Number of Operand Occurrences","4"
"1.6.1","Component Length","10"
"1.6.1","Component Volume","30"
"1.6.1","Vocabulary Size","8"
"1.6.1","Program Level","0.5"
"1.6.1","Program Differences","2"
"1.6.1","Effeciency","60"
"1.6.1","Program Time","3.33"
"1.6.1","Itergration","15"
"1.6.1","Bug","0.01"
"1.6.1","Number of Exit Points","1"
"1.6.1","Number of Statements","3"
"1.6.1","Number of Structuring Levels","1"
"1.6.1","Number of Unconditional Jumps","0"
"1.6.1","Number of Go to Statements","0"
"1.6.1","Number of Decision Statements","0"
"1.6.1","Average Statement Size","3.33"
"1.6.1","Language Scope","1.25"
"1.6.1","Number of Function Parameters","1"
"1.6.1","Number of Calling Functions","0"
"1.6.1","Number of Called Functions","0"
"1.6.1","Cyclomatic Complexity","1"
"1.6.1","Number of Entry Points","1"
"1.7.1","Number of Distinct Operators","1"
"1.7.1","Number of Distinct Operands","0"
"1.7.1","Number of Operator Occurrences","1"
"1.7.1","Number of Operand Occurrences","0"
"1.7.1","Component Length","1"
"1.7.1","Component Volume","0"
"1.7.1","Vocabulary Size","1"
"1.7.1","Program Level","0"
"1.7.1","Program Differences","0"
"1.7.1","Effeciency","0"
"1.7.1","Program Time","0"
"1.7.1","Itergration","0"
"1.7.1","Bug","0"
"1.7.1","Number of Exit Points","1"
"1.7.1","Number of Statements","1"
"1.7.1","Number of Structuring Levels","1"
"1.7.1","Number of Unconditional Jumps","0"
"1.7.1","Number of Go to Statements","0"
"1.7.1","Number of Decision Statements","0"
"1.7.1","Average Statement Size","1"
"1.7.1","Language Scope","1"
"1.7.1","Number of Function Parameters","2"
"1.7.1","Number of Calling Functions","0"
"1.7.1","Number of Called Functions","0"
"1.7.1","Cyclomatic Complexity","1"
"1.7.1","Number of Entry Points","1"
"1.8.1","Number of Distinct Operators","6"
"1.8.1","Number of Distinct Operands","5"
"1.8.1","Number of Operator Occurrences","8"
"1.8.1","Number of Operand Occurrences","5"
"1.8.1","Component Length","13"
"1.8.1","Component Volume","44.97"
"1.8.1","Vocabulary Size","11"
"1.8.1","Program Level","0.33"
"1.8.1","Program Differences","3"
"1.8.1","Effeciency","134.91"
"1.8.1","Program Time","7.49"
"1.8.1","Itergration","14.99"
"1.8.1","Bug","0.01"
"1.8.1","Number of Exit Points","2"
"1.8.1","Number of Statements","5"
"1.8.1","Number of Structuring Levels","1"
"1.8.1","Number of Unconditional Jumps","0"
"1.8.1","Number of Go to Statements","0"
"1.8.1","Number of Decision Statements","0"
"1.8.1","Average Statement Size","2.59"
"1.8.1","Language Scope","1.18"
"1.8.1","Number of Function Parameters","0"
"1.8.1","Number of Calling Functions","0"
"1.8.1","Number of Called Functions","0"
"1.8.1","Cyclomatic Complexity","1"
"1.8.1","Number of Entry Points","1"
"1.9.1","Number of Distinct Operators","3"
"1.9.1","Number of Distinct Operands","0"
"1.9.1","Number of Operator Occurrences","3"
"1.9.1","Number of Operand Occurrences","0"
"1.9.1","Component Length","3"
"1.9.1","Component Volume","4.75"
"1.9.1","Vocabulary Size","3"
"1.9.1","Program Level","0"
"1.9.1","Program Differences","0"
"1.9.1","Effeciency","0"
"1.9.1","Program Time","0"
"1.9.1","Itergration","0"
"1.9.1","Bug","0"
"1.9.1","Number of Exit Points","1"
"1.9.1","Number of Statements","1"
"1.9.1","Number of Structuring Levels","1"
"1.9.1","Number of Unconditional Jumps","0"
"1.9.1","Number of Go to Statements","0"
"1.9.1","Number of Decision Statements","0"
"1.9.1","Average Statement Size","3"
"1.9.1","Language Scope","1"
"1.9.1","Number of Function Parameters","0"
"1.9.1","Number of Calling Functions","0"
"1.9.1","Number of Called Functions","0"
"1.9.1","Cyclomatic Complexity","1"
"1.9.1","Number of Entry Points","1"
"1.10.1","Number of Distinct Operators","4"
"1.10.1","Number of Distinct Operands","0"
"1.10.1","Number of Operator Occurrences","3"
"1.10.1","Number of Operand Occurrences","1"
"1.10.1","Component Length","4"
"1.10.1","Component Volume","8"
"1.10.1","Vocabulary Size","4"
"1.10.1","Program Level","0"
"1.10.1","Program Differences","0"
"1.10.1","Effeciency","0"
"1.10.1","Program Time","0"
"1.10.1","Itergration","0"
"1.10.1","Bug","0"
"1.10.1","Number of Exit Points","1"
"1.10.1","Number of Statements","2"
"1.10.1","Number of Structuring Levels","1"
"1.10.1","Number of Unconditional Jumps","0"
"1.10.1","Number of Go to Statements","0"
"1.10.1","Number of Decision Statements","0"
"1.10.1","Average Statement Size","2"
"1.10.1","Language Scope","1"
"1.10.1","Number of Function Parameters","0"
"1.10.1","Number of Calling Functions","0"
"1.10.1","Number of Called Functions","0"
"1.10.1","Cyclomatic Complexity","1"
"1.10.1","Number of Entry Points","1"
"1.11.1","Number of Distinct Operators","13"
"1.11.1","Number of Distinct Operands","14"
"1.11.1","Number of Operator Occurrences","35"
"1.11.1","Number of Operand Occurrences","28"
"1.11.1","Component Length","63"
"1.11.1","Component Volume","299.55"
"1.11.1","Vocabulary Size","27"
"1.11.1","Program Level","0.07"
"1.11.1","Program Differences","12.99"
"1.11.1","Effeciency","3894.25"
"1.11.1","Program Time","216.34"
"1.11.1","Itergration","23.04"
"1.11.1","Bug","0.09"
"1.11.1","Number of Exit Points","1"
"1.11.1","Number of Statements","13"
"1.11.1","Number of Structuring Levels","2"
"1.11.1","Number of Unconditional Jumps","0"
"1.11.1","Number of Go to Statements","0"
"1.11.1","Number of Decision Statements","2"
"1.11.1","Average Statement Size","4.84"
"1.11.1","Language Scope","2.33"
"1.11.1","Number of Function Parameters","0"
"1.11.1","Number of Calling Functions","0"
"1.11.1","Number of Called Functions","0"
"1.11.1","Cyclomatic Complexity","3"
"1.11.1","Number of Entry Points","1"
"1.12.1","Number of Distinct Operators","6"
"1.12.1","Number of Distinct Operands","8"
"1.12.1","Number of Operator Occurrences","10"
"1.12.1","Number of Operand Occurrences","7"
"1.12.1","Component Length","17"
"1.12.1","Component Volume","64.72"
"1.12.1","Vocabulary Size","14"
"1.12.1","Program Level","0.38"
"1.12.1","Program Differences","2.62"
"1.12.1","Effeciency","169.9"
"1.12.1","Program Time","9.43"
"1.12.1","Itergration","24.65"
"1.12.1","Bug","0.02"
"1.12.1","Number of Exit Points","1"
"1.12.1","Number of Statements","4"
"1.12.1","Number of Structuring Levels","1"
"1.12.1","Number of Unconditional Jumps","0"
"1.12.1","Number of Go to Statements","0"
"1.12.1","Number of Decision Statements","0"
"1.12.1","Average Statement Size","4.25"
"1.12.1","Language Scope","1.21"
"1.12.1","Number of Function Parameters","0"
"1.12.1","Number of Calling Functions","0"
"1.12.1","Number of Called Functions","0"
"1.12.1","Cyclomatic Complexity","1"
"1.12.1","Number of Entry Points","1"
"1.13.1","Number of Distinct Operators","1"
"1.13.1","Number of Distinct Operands","0"
"1.13.1","Number of Operator Occurrences","1"
"1.13.1","Number of Operand Occurrences","0"
"1.13.1","Component Length","1"
"1.13.1","Component Volume","0"
"1.13.1","Vocabulary Size","1"
"1.13.1","Program Level","0"
"1.13.1","Program Differences","0"
"1.13.1","Effeciency","0"
"1.13.1","Program Time","0"
"1.13.1","Itergration","0"
"1.13.1","Bug","0"
"1.13.1","Number of Exit Points","1"
"1.13.1","Number of Statements","1"
"1.13.1","Number of Structuring Levels","1"
"1.13.1","Number of Unconditional Jumps","0"
"1.13.1","Number of Go to Statements","0"
"1.13.1","Number of Decision Statements","0"
"1.13.1","Average Statement Size","1"
"1.13.1","Language Scope","1"
"1.13.1","Number of Function Parameters","0"
"1.13.1","Number of Calling Functions","0"
"1.13.1","Number of Called Functions","0"
"1.13.1","Cyclomatic Complexity","1"
"1.13.1","Number of Entry Points","1"
"1.14.1","Number of Distinct Operators","2"
"1.14.1","Number of Distinct Operands","8"
"1.14.1","Number of Operator Occurrences","9"
"1.14.1","Number of Operand Occurrences","4"
"1.14.1","Component Length","13"
"1.14.1","Component Volume","43.18"
"1.14.1","Vocabulary Size","10"
"1.14.1","Program Level","2"
"1.14.1","Program Differences","0.5"
"1.14.1","Effeciency","21.59"
"1.14.1","Program Time","1.19"
"1.14.1","Itergration","86.37"
"1.14.1","Bug","0.01"
"1.14.1","Number of Exit Points","1"
"1.14.1","Number of Statements","5"
"1.14.1","Number of Structuring Levels","1"
"1.14.1","Number of Unconditional Jumps","0"
"1.14.1","Number of Go to Statements","0"
"1.14.1","Number of Decision Statements","0"
"1.14.1","Average Statement Size","2.59"
"1.14.1","Language Scope","1.3"
"1.14.1","Number of Function Parameters","0"
"1.14.1","Number of Calling Functions","0"
"1.14.1","Number of Called Functions","0"
"1.14.1","Cyclomatic Complexity","1"
"1.14.1","Number of Entry Points","1"
"1.14.2","Number of Distinct Operators","2"
"1.14.2","Number of Distinct Operands","6"
"1.14.2","Number of Operator Occurrences","7"
"1.14.2","Number of Operand Occurrences","3"
"1.14.2","Component Length","10"
"1.14.2","Component Volume","30"
"1.14.2","Vocabulary Size","8"
"1.14.2","Program Level","2"
"1.14.2","Program Differences","0.5"
"1.14.2","Effeciency","15"
"1.14.2","Program Time","0.83"
"1.14.2","Itergration","60"
"1.14.2","Bug","0.01"
"1.14.2","Number of Exit Points","1"
"1.14.2","Number of Statements","4"
"1.14.2","Number of Structuring Levels","1"
"1.14.2","Number of Unconditional Jumps","0"
"1.14.2","Number of Go to Statements","0"
"1.14.2","Number of Decision Statements","0"
"1.14.2","Average Statement Size","2.5"
"1.14.2","Language Scope","1.25"
"1.14.2","Number of Function Parameters","0"
"1.14.2","Number of Calling Functions","0"
"1.14.2","Number of Called Functions","0"
"1.14.2","Cyclomatic Complexity","1"
"1.14.2","Number of Entry Points","1"
"1.15.1","Number of Distinct Operators","5"
"1.15.1","Number of Distinct Operands","6"
"1.15.1","Number of Operator Occurrences","10"
"1.15.1","Number of Operand Occurrences","6"
"1.15.1","Component Length","16"
"1.15.1","Component Volume","55.35"
"1.15.1","Vocabulary Size","11"
"1.15.1","Program Level","0.4"
"1.15.1","Program Differences","2.5"
"1.15.1","Effeciency","138.37"
"1.15.1","Program Time","7.68"
"1.15.1","Itergration","22.14"
"1.15.1","Bug","0.01"
"1.15.1","Number of Exit Points","1"
"1.15.1","Number of Statements","3"
"1.15.1","Number of Structuring Levels","1"
"1.15.1","Number of Unconditional Jumps","0"
"1.15.1","Number of Go to Statements","0"
"1.15.1","Number of Decision Statements","0"
"1.15.1","Average Statement Size","5.33"
"1.15.1","Language Scope","1.45"
"1.15.1","Number of Function Parameters","0"
"1.15.1","Number of Calling Functions","0"
"1.15.1","Number of Called Functions","0"
"1.15.1","Cyclomatic Complexity","1"
"1.15.1","Number of Entry Points","1"
"1.16.1","Number of Distinct Operators","3"
"1.16.1","Number of Distinct Operands","0"
"1.16.1","Number of Operator Occurrences","3"
"1.16.1","Number of Operand Occurrences","0"
"1.16.1","Component Length","3"
"1.16.1","Component Volume","4.75"
"1.16.1","Vocabulary Size","3"
"1.16.1","Program Level","0"
"1.16.1","Program Differences","0"
"1.16.1","Effeciency","0"
"1.16.1","Program Time","0"
"1.16.1","Itergration","0"
"1.16.1","Bug","0"
"1.16.1","Number of Exit Points","1"
"1.16.1","Number of Statements","1"
"1.16.1","Number of Structuring Levels","1"
"1.16.1","Number of Unconditional Jumps","0"
"1.16.1","Number of Go to Statements","0"
"1.16.1","Number of Decision Statements","0"
"1.16.1","Average Statement Size","3"
"1.16.1","Language Scope","1"
"1.16.1","Number of Function Parameters","0"
"1.16.1","Number of Calling Functions","0"
"1.16.1","Number of Called Functions","0"
"1.16.1","Cyclomatic Complexity","1"
"1.16.1","Number of Entry Points","1"
"1.17.1","Number of Distinct Operators","3"
"1.17.1","Number of Distinct Operands","0"
"1.17.1","Number of Operator Occurrences","3"
"1.17.1","Number of Operand Occurrences","0"
"1.17.1","Component Length","3"
"1.17.1","Component Volume","4.75"
"1.17.1","Vocabulary Size","3"
"1.17.1","Program Level","0"
"1.17.1","Program Differences","0"
"1.17.1","Effeciency","0"
"1.17.1","Program Time","0"
"1.17.1","Itergration","0"
"1.17.1","Bug","0"
"1.17.1","Number of Exit Points","1"
"1.17.1","Number of Statements","1"
"1.17.1","Number of Structuring Levels","1"
"1.17.1","Number of Unconditional Jumps","0"
"1.17.1","Number of Go to Statements","0"
"1.17.1","Number of Decision Statements","0"
"1.17.1","Average Statement Size","3"
"1.17.1","Language Scope","1"
"1.17.1","Number of Function Parameters","0"
"1.17.1","Number of Calling Functions","0"
"1.17.1","Number of Called Functions","0"
"1.17.1","Cyclomatic Complexity","1"
"1.17.1","Number of Entry Points","1"
"1.18.1","Number of Distinct Operators","1"
"1.18.1","Number of Distinct Operands","0"
"1.18.1","Number of Operator Occurrences","1"
"1.18.1","Number of Operand Occurrences","0"
"1.18.1","Component Length","1"
"1.18.1","Component Volume","0"
"1.18.1","Vocabulary Size","1"
"1.18.1","Program Level","0"
"1.18.1","Program Differences","0"
"1.18.1","Effeciency","0"
"1.18.1","Program Time","0"
"1.18.1","Itergration","0"
"1.18.1","Bug","0"
"1.18.1","Number of Exit Points","1"
"1.18.1","Number of Statements","1"
"1.18.1","Number of Structuring Levels","1"
"1.18.1","Number of Unconditional Jumps","0"
"1.18.1","Number of Go to Statements","0"
"1.18.1","Number of Decision Statements","0"
"1.18.1","Average Statement Size","1"
"1.18.1","Language Scope","1"
"1.18.1","Number of Function Parameters","0"
"1.18.1","Number of Calling Functions","0"
"1.18.1","Number of Called Functions","0"
"1.18.1","Cyclomatic Complexity","1"
"1.18.1","Number of Entry Points","1"
"1.19.1","Number of Distinct Operators","6"
"1.19.1","Number of Distinct Operands","3"
"1.19.1","Number of Operator Occurrences","3"
"1.19.1","Number of Operand Occurrences","2"
"1.19.1","Component Length","5"
"1.19.1","Component Volume","15.84"
"1.19.1","Vocabulary Size","9"
"1.19.1","Program Level","0.5"
"1.19.1","Program Differences","2"
"1.19.1","Effeciency","31.69"
"1.19.1","Program Time","1.76"
"1.19.1","Itergration","7.92"
"1.19.1","Bug","0"
"1.19.1","Number of Exit Points","1"
"1.19.1","Number of Statements","3"
"1.19.1","Number of Structuring Levels","1"
"1.19.1","Number of Unconditional Jumps","0"
"1.19.1","Number of Go to Statements","0"
"1.19.1","Number of Decision Statements","0"
"1.19.1","Average Statement Size","1.66"
"1.19.1","Language Scope","0.55"
"1.19.1","Number of Function Parameters","1"
"1.19.1","Number of Calling Functions","0"
"1.19.1","Number of Called Functions","0"
"1.19.1","Cyclomatic Complexity","1"
"1.19.1","Number of Entry Points","1"
"1.20.1","Number of Distinct Operators","5"
"1.20.1","Number of Distinct Operands","4"
"1.20.1","Number of Operator Occurrences","9"
"1.20.1","Number of Operand Occurrences","4"
"1.20.1","Component Length","13"
"1.20.1","Component Volume","41.2"
"1.20.1","Vocabulary Size","9"
"1.20.1","Program Level","0.4"
"1.20.1","Program Differences","2.5"
"1.20.1","Effeciency","103.02"
"1.20.1","Program Time","5.72"
"1.20.1","Itergration","16.48"
"1.20.1","Bug","0.01"
"1.20.1","Number of Exit Points","3"
"1.20.1","Number of Statements","10"
"1.20.1","Number of Structuring Levels","2"
"1.20.1","Number of Unconditional Jumps","0"
"1.20.1","Number of Go to Statements","0"
"1.20.1","Number of Decision Statements","5"
"1.20.1","Average Statement Size","1.29"
"1.20.1","Language Scope","1.44"
"1.20.1","Number of Function Parameters","1"
"1.20.1","Number of Calling Functions","0"
"1.20.1","Number of Called Functions","0"
"1.20.1","Cyclomatic Complexity","6"
"1.20.1","Number of Entry Points","1"
"1.20.2","Number of Distinct Operators","9"
"1.20.2","Number of Distinct Operands","3"
"1.20.2","Number of Operator Occurrences","31"
"1.20.2","Number of Operand Occurrences","11"
"1.20.2","Component Length","42"
"1.20.2","Component Volume","150.56"
"1.20.2","Vocabulary Size","12"
"1.20.2","Program Level","0.06"
"1.20.2","Program Differences","16.5"
"1.20.2","Effeciency","2484.37"
"1.20.2","Program Time","138.02"
"1.20.2","Itergration","9.12"
"1.20.2","Bug","0.05"
"1.20.2","Number of Exit Points","4"
"1.20.2","Number of Statements","11"
"1.20.2","Number of Structuring Levels","4"
"1.20.2","Number of Unconditional Jumps","0"
"1.20.2","Number of Go to Statements","0"
"1.20.2","Number of Decision Statements","6"
"1.20.2","Average Statement Size","3.81"
"1.20.2","Language Scope","3.5"
"1.20.2","Number of Function Parameters","1"
"1.20.2","Number of Calling Functions","0"
"1.20.2","Number of Called Functions","0"
"1.20.2","Cyclomatic Complexity","7"
"1.20.2","Number of Entry Points","1"
"1.21.1","Number of Distinct Operators","3"
"1.21.1","Number of Distinct Operands","0"
"1.21.1","Number of Operator Occurrences","3"
"1.21.1","Number of Operand Occurrences","0"
"1.21.1","Component Length","3"
"1.21.1","Component Volume","4.75"
"1.21.1","Vocabulary Size","3"
"1.21.1","Program Level","0"
"1.21.1","Program Differences","0"
"1.21.1","Effeciency","0"
"1.21.1","Program Time","0"
"1.21.1","Itergration","0"
"1.21.1","Bug","0"
"1.21.1","Number of Exit Points","1"
"1.21.1","Number of Statements","1"
"1.21.1","Number of Structuring Levels","1"
"1.21.1","Number of Unconditional Jumps","0"
"1.21.1","Number of Go to Statements","0"
"1.21.1","Number of Decision Statements","0"
"1.21.1","Average Statement Size","3"
"1.21.1","Language Scope","1"
"1.21.1","Number of Function Parameters","0"
"1.21.1","Number of Calling Functions","0"
"1.21.1","Number of Called Functions","0"
"1.21.1","Cyclomatic Complexity","1"
"1.21.1","Number of Entry Points","1"
"1.22.1","Number of Distinct Operators","3"
"1.22.1","Number of Distinct Operands","0"
"1.22.1","Number of Operator Occurrences","3"
"1.22.1","Number of Operand Occurrences","0"
"1.22.1","Component Length","3"
"1.22.1","Component Volume","4.75"
"1.22.1","Vocabulary Size","3"
"1.22.1","Program Level","0"
"1.22.1","Program Differences","0"
"1.22.1","Effeciency","0"
"1.22.1","Program Time","0"
"1.22.1","Itergration","0"
"1.22.1","Bug","0"
"1.22.1","Number of Exit Points","1"
"1.22.1","Number of Statements","1"
"1.22.1","Number of Structuring Levels","1"
"1.22.1","Number of Unconditional Jumps","0"
"1.22.1","Number of Go to Statements","0"
"1.22.1","Number of Decision Statements","0"
"1.22.1","Average Statement Size","3"
"1.22.1","Language Scope","1"
"1.22.1","Number of Function Parameters","0"
"1.22.1","Number of Calling Functions","0"
"1.22.1","Number of Called Functions","0"
"1.22.1","Cyclomatic Complexity","1"
"1.22.1","Number of Entry Points","1"
"1.23.1","Number of Distinct Operators","2"
"1.23.1","Number of Distinct Operands","2"
"1.23.1","Number of Operator Occurrences","3"
"1.23.1","Number of Operand Occurrences","1"
"1.23.1","Component Length","4"
"1.23.1","Component Volume","8"
"1.23.1","Vocabulary Size","4"
"1.23.1","Program Level","2"
"1.23.1","Program Differences","0.5"
"1.23.1","Effeciency","4"
"1.23.1","Program Time","0.22"
"1.23.1","Itergration","16"
"1.23.1","Bug","0"
"1.23.1","Number of Exit Points","1"
"1.23.1","Number of Statements","2"
"1.23.1","Number of Structuring Levels","1"
"1.23.1","Number of Unconditional Jumps","0"
"1.23.1","Number of Go to Statements","0"
"1.23.1","Number of Decision Statements","0"
"1.23.1","Average Statement Size","2"
"1.23.1","Language Scope","1"
"1.23.1","Number of Function Parameters","1"
"1.23.1","Number of Calling Functions","0"
"1.23.1","Number of Called Functions","0"
"1.23.1","Cyclomatic Complexity","1"
"1.23.1","Number of Entry Points","1"
"1.23.2","Number of Distinct Operators","2"
"1.23.2","Number of Distinct Operands","2"
"1.23.2","Number of Operator Occurrences","3"
"1.23.2","Number of Operand Occurrences","1"
"1.23.2","Component Length","4"
"1.23.2","Component Volume","8"
"1.23.2","Vocabulary Size","4"
"1.23.2","Program Level","2"
"1.23.2","Program Differences","0.5"
"1.23.2","Effeciency","4"
"1.23.2","Program Time","0.22"
"1.23.2","Itergration","16"
"1.23.2","Bug","0"
"1.23.2","Number of Exit Points","1"
"1.23.2","Number of Statements","2"
"1.23.2","Number of Structuring Levels","1"
"1.23.2","Number of Unconditional Jumps","0"
"1.23.2","Number of Go to Statements","0"
"1.23.2","Number of Decision Statements","0"
"1.23.2","Average Statement Size","2"
"1.23.2","Language Scope","1"
"1.23.2","Number of Function Parameters","1"
"1.23.2","Number of Calling Functions","0"
"1.23.2","Number of Called Functions","0"
"1.23.2","Cyclomatic Complexity","1"
"1.23.2","Number of Entry Points","1"
"1.24.1","Number of Distinct Operators","7"
"1.24.1","Number of Distinct Operands","2"
"1.24.1","Number of Operator Occurrences","5"
"1.24.1","Number of Operand Occurrences","3"
"1.24.1","Component Length","8"
"1.24.1","Component Volume","25.35"
"1.24.1","Vocabulary Size","9"
"1.24.1","Program Level","0.19"
"1.24.1","Program Differences","5.24"
"1.24.1","Effeciency","133.13"
"1.24.1","Program Time","7.39"
"1.24.1","Itergration","4.83"
"1.24.1","Bug","0"
