"name","ID"
"SIZE_CALCULATION_BAD_COMPARE.c","1.27"
"getuid","1.27.1"
"geteuid","1.27.2"
"func","1.27.3"
"function","1.27.4"
"BAD_CALL.REQUIRED.VARARGS.c","1.28"
"Func","1.28.1"
"BAD_INCLUDE.INVALID_PATH.c","1.29"
"func","1.29.1"
"BAD_CALL.FORBIDDEN.LIB.TIMER.c","1.30"
"set_sleep_func","1.30.1"
"MSC32.c","1.31"
"msc32","1.31.1"
"SECURE_OPUS_COMPLEX.c","1.32"
"SQLExecDirect","1.32.1"
"ldap_search_ext_s","1.32.2"
"ldap_simple_bind_s","1.32.3"
"dlopen","1.32.4"
"SQLConnect","1.32.5"
"verify","1.32.6"
"getpasswd","1.32.7"
"U51000089_1","1.32.8"
"release","1.32.9"
"memory_leak","1.32.10"
"ret_null","1.32.11"
"null_deref","1.32.12"
"rpt","1.32.13"
"ldap_injection","1.32.14"
"ldap_manipulation","1.32.15"
"ldap_safe_manipulation","1.32.16"
"resource_injection","1.32.17"
"process_control","1.32.18"
"information_exposure","1.32.19"
"main","1.32.20"
"searchData2LDAP","1.32.21"
"integer_overflow","1.32.22"
"safe_integer_overflow","1.32.23"
"safe_plaintext_passwd","1.32.24"
"plaintext_passwd","1.32.25"
"hardcoded_crypt","1.32.26"
"safe_hardcoded_crypt","1.32.27"
"unexpected_sign_extension2","1.32.28"
"unexpected_sign_extension","1.32.29"
"test_strcpy","1.32.30"
"aux_test_extreme","1.32.31"
"test_extreme","1.32.32"
"INCORRECT_PERMISSION.c","1.33"
"sfunc","1.33.1"
"func","1.33.2"
"MIS07.c","1.34"
"mis07","1.34.1"
"DOUBLE_LOCK.c","1.35"
"double_lock","1.35.1"
"API32.c","1.36"
"badFoo","1.36.1"
"goodFoo","1.36.2"
"TOO_MANY_METHODS.c","1.37"
"func1","1.37.1"
"func2","1.37.2"
"func3","1.37.3"
"BAD_CALL.FORBIDDEN.PARAM.NAME.c","1.38"
"Func","1.38.1"
"sub.c","1.39"
"sub_test","1.39.1"
"sum","1.39.2"
"substract","1.39.3"
"divide","1.39.4"
"multiply","1.39.5"
"MIS14.c","1.40"
"testFunc","1.40.1"
"BAD_INIT.CHAR_ARRAY.c","1.41"
"func","1.41.1"
"BAD_CALL.FORBIDDEN.VARARGS.c","1.42"
"Func","1.42.1"
"FBD01.c","1.43"
"badFoo","1.43.1"
"goodFoo","1.43.2"
"BAD_CALL.REQUIRED.PARAM.c","1.44"
"Func","1.44.1"
"BAD_CALL.NOT_ALLOWED.PARAM.NAME.c","1.45"
"Func","1.45.1"
"EXCESSIVE_STACK_DEPTH.c","1.46"
"bigbuf","1.46.1"
"BAD_STRING_MANAGEMENT.c","1.47"
"_mbscpy","1.47.1"
"_mbscpy_s","1.47.2"
"_mbscat","1.47.3"
"_mbscat_s","1.47.4"
"f","1.47.5"
"BAD_CALL.FORBIDDEN.PARAM.LITERAL.c","1.48"
"Func","1.48.1"
"WEAK_ENCRYPTION.HARDCODED_SALT.c","1.49"
"badSalt","1.49.1"
"badSalt2","1.49.2"
"badSalt3","1.49.3"
"badSalt4","1.49.4"
"goodSalt","1.49.5"
"goodSalt2","1.49.6"
"API46.c","1.50"
"badFoo","1.50.1"
"goodFoo","1.50.2"
"API41.c","1.51"
"badFoo","1.51.1"
"goodFoo","1.51.2"
"MIS06.c","1.52"
"foo","1.52.1"
"API42.c","1.53"
"fooBad","1.53.1"
"fooNestedBad","1.53.2"
"DOUBLE_UNLOCK.c","1.54"
"unlock","1.54.1"
"BAD_CALL.MISSING_CALL_PARAM.c","1.55"
"Func","1.55.1"
"API24.c","1.56"
"strcpy","1.56.1"
"getSSS","1.56.2"
"badFoo","1.56.3"
"goodFoo","1.56.4"
"API40.c","1.57"
"getBadSum","1.57.1"
"getGoodSumG","1.57.2"
"MIS22.c","1.58"
"foo","1.58.1"
"API35.c","1.59"
"badFoo","1.59.1"
"goodFoo","1.59.2"
"all_sample.c","1.60"
"buffer_overrun_01_sub","1.60.1"
"buffer_overrun_01_main","1.60.2"
"buffer_overrun_complex_01_sub","1.60.3"
"buffer_overrun_complex_01_main","1.60.4"
"buffer_overrun_02_main","1.60.5"
"buffer_overrun_complex_02_sub","1.60.6"
"buffer_overrun_complex_02_main","1.60.7"
"buffer_overrun_03","1.60.8"
"buffer_overrun_complex_03_sub","1.60.9"
"buffer_overrun_complex_03","1.60.10"
"memory_leak_01_sub","1.60.11"
"memory_leak_01_main","1.60.12"
"memory_leak_complex_01_sub","1.60.13"
"memory_leak_complex_01_sub_free","1.60.14"
"memory_leak_complex_01_main","1.60.15"
"resource_leak_01_sub","1.60.16"
"resource_leak_01_main","1.60.17"
"resource_leak_complex_01_sub","1.60.18"
"resource_leak_complex_01_sub_close","1.60.19"
"resource_leak_complex_01_main","1.60.20"
"null_deref_01_sub","1.60.21"
"null_deref_01_main","1.60.22"
"null_deref_complex_01_sub","1.60.23"
"null_deref_complex_01_sub2","1.60.24"
"null_deref_complex_01_main","1.60.25"
"null_deref_02_main","1.60.26"
"null_deref_complex_02_sub","1.60.27"
"null_deref_complex_02_main","1.60.28"
"null_deref_03_main","1.60.29"
"divide_by_zero_03","1.60.30"
"divide_by_zero_complex_03_sub","1.60.31"
"divide_by_zero_complex_03","1.60.32"
"divide_by_zero_04","1.60.33"
"divide_by_zero_complex_04_sub","1.60.34"
"divide_by_zero_complex_04","1.60.35"
"double_free_sub","1.60.36"
"double_free_main","1.60.37"
"double_free_complex_sub","1.60.38"
"double_free_complex_main","1.60.39"
"use_after_free","1.60.40"
"use_after_free_complex_sub","1.60.41"
"use_after_free_complex","1.60.42"
"return_pointer_to_freed","1.60.43"
"return_pointer_to_freed_complex_sub","1.60.44"
"return_pointer_to_freed_complex","1.60.45"
"uninit","1.60.46"
"uninit_sub","1.60.47"
"uninit_main","1.60.48"
"return_pointer_to_local","1.60.49"
"free_non_heap","1.60.50"
"pass_by_value","1.60.51"
"missing_return","1.60.52"
"cast_alters_value","1.60.53"
"free_null_pointer_call","1.60.54"
"free_null_pointer_main","1.60.55"
"memcpy_with_overlapping_regions","1.60.56"
"null_check_after_dereference","1.60.57"
"shift_exceeds_bit_width","1.60.58"
"shift_negative","1.60.59"
"underrun_static","1.60.60"
"underrun_static_bad_condition","1.60.61"
"type_underrun_static","1.60.62"
"type_underrun_bad","1.60.63"
"unresonable_parameter","1.60.64"
"format_string","1.60.65"
"unreachable_code","1.60.66"
"ignored_return_value","1.60.67"
"ignored_return_2_sub","1.60.68"
"ignored_return_2_main","1.60.69"
"checked_return","1.60.70"
"dangerous_func_cast_sub","1.60.71"
"dangerous_func_cast_main","1.60.72"
"varargs_func_cast_sub","1.60.73"
"varargs_func_cast_main","1.60.74"
"overrun_pf","1.60.75"
"information_leak","1.60.76"
"argument_number_mismatch1","1.60.77"
"argument_number_mismatch2","1.60.78"
"double_close","1.60.79"
"redundant_condition1","1.60.80"
"redundant_condition2","1.60.81"
"redundant_condition3","1.60.82"
"minimal_scope","1.60.83"
"missing_function_return","1.60.84"
"BAD_INTEGER_CONST_DEFINITION.c","1.61"
"func","1.61.1"
"BAD_CALL.FORBIDDEN.LIB.RESOURCE.c","1.62"
"resource_limit","1.62.1"
"PASSWORD_IN_COMMENT.c","1.63"
"func","1.63.1"
"ENV32.c","1.64"
"exit1","1.64.1"
"exit2","1.64.2"
"func2","1.64.3"
"func1","1.64.4"
"env","1.64.5"
"SECURITY_DECISION_ON_DNS_LOOKUP.c","1.65"
"decision","1.65.1"
"decision2","1.65.2"
"BAD_MACRO.MULTI_STMT_WITHOUT_DO_WHILE.c","1.66"
"muti_stmt_without","1.66.1"
"MISSING_WRAPPER_ON_VARIABLE.c","1.67"
"Func","1.67.1"
"BAD_PRIVILEGE_RELINQUISHMENT.c","1.68"
"func","1.68.1"
"INCONSISTENT_GLOBAL_VARIABLE_TYPE.c","1.69"
"Func","1.69.1"
"BAD_CALL.FORBIDDEN.PARAM.STRING.c","1.70"
"Func","1.70.1"
"MIS18.c","1.71"
"badTest","1.71.1"
"goodTest","1.71.2"
"API28.c","1.72"
