"ID","age","value"
"1.4.1","param_num","0"
"1.4.1","stmt_num","5"
"1.4.1","callby_num","0"
"1.4.1","id","1022"
"1.4.1","file_id","391"
"1.4.1","goto_num","0"
"1.4.1","cyclomatic","1"
"1.4.1","prg_dif","2"
"1.4.1","ocr_optr","12"
"1.4.1","dcs_stmt","0"
"1.4.1","uncond_num","0"
"1.4.1","prg_lv","0"
"1.4.1","prg_time","10"
"1.4.1","entry_ptr","1"
"1.4.1","cpnt_vol","72"
"1.4.1","call_num","0"
"1.4.1","dlv_bug","0"
"1.4.1","name","badFoo"
"1.4.1","d_oprd","7"
"1.4.1","cpnt_len","21"
"1.4.2","avg_stmt","6"
"1.4.2","scorecard","None"
"1.4.2","exit_pnt","1"
"1.4.2","lang_scope","1"
"1.4.2","strc_lv","1"
"1.4.2","cpnt_voca","12"
"1.4.2","itg_con","22"
"1.4.2","ocr_oprd","9"
"1.4.2","d_optr","5"
"1.4.2","cpnt_eff","230"
"1.4.2","param_num","0"
"1.4.2","stmt_num","3"
"1.4.2","callby_num","0"
"1.4.2","id","1023"
"1.4.2","file_id","391"
"1.4.2","goto_num","0"
"1.4.2","cyclomatic","1"
"1.4.2","prg_dif","3"
"1.4.2","ocr_optr","11"
"1.4.2","dcs_stmt","0"
"1.4.2","uncond_num","0"
"1.4.2","prg_lv","0"
"1.4.2","prg_time","12"
"1.4.2","entry_ptr","1"
"1.4.2","cpnt_vol","71"
"1.4.2","call_num","0"
"1.4.2","dlv_bug","0"
"1.4.2","name","goodFoo"
"1.4.2","d_oprd","7"
"1.4.2","cpnt_len","20"
"1.5.1","avg_stmt","4"
"1.5.1","scorecard","None"
"1.5.1","exit_pnt","1"
"1.5.1","lang_scope","0"
"1.5.1","strc_lv","1"
"1.5.1","cpnt_voca","13"
"1.5.1","itg_con","11"
"1.5.1","ocr_oprd","5"
"1.5.1","d_optr","8"
"1.5.1","cpnt_eff","177"
"1.5.1","param_num","0"
"1.5.1","stmt_num","3"
"1.5.1","callby_num","0"
"1.5.1","id","1024"
"1.5.1","file_id","392"
"1.5.1","goto_num","0"
"1.5.1","cyclomatic","1"
"1.5.1","prg_dif","4"
"1.5.1","ocr_optr","7"
"1.5.1","dcs_stmt","0"
"1.5.1","uncond_num","0"
"1.5.1","prg_lv","0"
"1.5.1","prg_time","9"
"1.5.1","entry_ptr","1"
"1.5.1","cpnt_vol","44"
"1.5.1","call_num","0"
"1.5.1","dlv_bug","0"
"1.5.1","name","MSC32_main"
"1.5.1","d_oprd","5"
"1.5.1","cpnt_len","12"
"1.6.1","avg_stmt","3"
"1.6.1","scorecard","None"
"1.6.1","exit_pnt","1"
"1.6.1","lang_scope","1"
"1.6.1","strc_lv","1"
"1.6.1","cpnt_voca","8"
"1.6.1","itg_con","15"
"1.6.1","ocr_oprd","4"
"1.6.1","d_optr","4"
"1.6.1","cpnt_eff","60"
"1.6.1","param_num","1"
"1.6.1","stmt_num","3"
"1.6.1","callby_num","0"
"1.6.1","id","1025"
"1.6.1","file_id","393"
"1.6.1","goto_num","0"
"1.6.1","cyclomatic","1"
"1.6.1","prg_dif","2"
"1.6.1","ocr_optr","6"
"1.6.1","dcs_stmt","0"
"1.6.1","uncond_num","0"
"1.6.1","prg_lv","0"
"1.6.1","prg_time","3"
"1.6.1","entry_ptr","1"
"1.6.1","cpnt_vol","30"
"1.6.1","call_num","0"
"1.6.1","dlv_bug","0"
"1.6.1","name","Func"
"1.6.1","d_oprd","4"
"1.6.1","cpnt_len","10"
"1.7.1","avg_stmt","1"
"1.7.1","scorecard","None"
"1.7.1","exit_pnt","1"
"1.7.1","lang_scope","1"
"1.7.1","strc_lv","1"
"1.7.1","cpnt_voca","1"
"1.7.1","itg_con","0"
"1.7.1","ocr_oprd","0"
"1.7.1","d_optr","1"
"1.7.1","cpnt_eff","0"
"1.7.1","param_num","2"
"1.7.1","stmt_num","1"
"1.7.1","callby_num","0"
"1.7.1","id","1026"
"1.7.1","file_id","394"
"1.7.1","goto_num","0"
"1.7.1","cyclomatic","1"
"1.7.1","prg_dif","0"
"1.7.1","ocr_optr","1"
"1.7.1","dcs_stmt","0"
"1.7.1","uncond_num","0"
"1.7.1","prg_lv","0"
"1.7.1","prg_time","0"
"1.7.1","entry_ptr","1"
"1.7.1","cpnt_vol","0"
"1.7.1","call_num","0"
"1.7.1","dlv_bug","0"
"1.7.1","name","Func"
"1.7.1","d_oprd","0"
"1.7.1","cpnt_len","1"
"1.8.1","avg_stmt","2"
"1.8.1","scorecard","None"
"1.8.1","exit_pnt","2"
"1.8.1","lang_scope","1"
"1.8.1","strc_lv","1"
"1.8.1","cpnt_voca","11"
"1.8.1","itg_con","14"
"1.8.1","ocr_oprd","5"
"1.8.1","d_optr","6"
"1.8.1","cpnt_eff","134"
"1.8.1","param_num","0"
"1.8.1","stmt_num","5"
"1.8.1","callby_num","0"
"1.8.1","id","1027"
"1.8.1","file_id","395"
"1.8.1","goto_num","0"
"1.8.1","cyclomatic","1"
"1.8.1","prg_dif","3"
"1.8.1","ocr_optr","8"
"1.8.1","dcs_stmt","0"
"1.8.1","uncond_num","0"
"1.8.1","prg_lv","0"
"1.8.1","prg_time","7"
"1.8.1","entry_ptr","1"
"1.8.1","cpnt_vol","44"
"1.8.1","call_num","0"
"1.8.1","dlv_bug","0"
"1.8.1","name","terminate_process"
"1.8.1","d_oprd","5"
"1.8.1","cpnt_len","13"
"1.9.1","avg_stmt","3"
"1.9.1","scorecard","None"
"1.9.1","exit_pnt","1"
"1.9.1","lang_scope","1"
"1.9.1","strc_lv","1"
"1.9.1","cpnt_voca","3"
"1.9.1","itg_con","0"
"1.9.1","ocr_oprd","0"
"1.9.1","d_optr","3"
"1.9.1","cpnt_eff","0"
"1.9.1","param_num","0"
"1.9.1","stmt_num","1"
"1.9.1","callby_num","0"
"1.9.1","id","1028"
"1.9.1","file_id","396"
"1.9.1","goto_num","0"
"1.9.1","cyclomatic","1"
"1.9.1","prg_dif","0"
"1.9.1","ocr_optr","3"
"1.9.1","dcs_stmt","0"
"1.9.1","uncond_num","0"
"1.9.1","prg_lv","0"
"1.9.1","prg_time","0"
"1.9.1","entry_ptr","1"
"1.9.1","cpnt_vol","4"
"1.9.1","call_num","0"
"1.9.1","dlv_bug","0"
"1.9.1","name","staticFunc"
"1.9.1","d_oprd","0"
"1.9.1","cpnt_len","3"
"1.10.1","avg_stmt","2"
"1.10.1","scorecard","None"
"1.10.1","exit_pnt","1"
"1.10.1","lang_scope","1"
"1.10.1","strc_lv","1"
"1.10.1","cpnt_voca","4"
"1.10.1","itg_con","0"
"1.10.1","ocr_oprd","1"
"1.10.1","d_optr","4"
"1.10.1","cpnt_eff","0"
"1.10.1","param_num","0"
"1.10.1","stmt_num","2"
"1.10.1","callby_num","0"
"1.10.1","id","1029"
"1.10.1","file_id","397"
"1.10.1","goto_num","0"
"1.10.1","cyclomatic","1"
"1.10.1","prg_dif","0"
"1.10.1","ocr_optr","3"
"1.10.1","dcs_stmt","0"
"1.10.1","uncond_num","0"
"1.10.1","prg_lv","0"
"1.10.1","prg_time","0"
"1.10.1","entry_ptr","1"
"1.10.1","cpnt_vol","8"
"1.10.1","call_num","0"
"1.10.1","dlv_bug","0"
"1.10.1","name","signal_handler"
"1.10.1","d_oprd","0"
"1.10.1","cpnt_len","4"
"1.11.1","avg_stmt","4"
"1.11.1","scorecard","None"
"1.11.1","exit_pnt","1"
"1.11.1","lang_scope","2"
"1.11.1","strc_lv","2"
"1.11.1","cpnt_voca","27"
"1.11.1","itg_con","23"
"1.11.1","ocr_oprd","28"
"1.11.1","d_optr","13"
"1.11.1","cpnt_eff","3894"
"1.11.1","param_num","0"
"1.11.1","stmt_num","13"
"1.11.1","callby_num","0"
"1.11.1","id","1030"
"1.11.1","file_id","398"
"1.11.1","goto_num","0"
"1.11.1","cyclomatic","3"
"1.11.1","prg_dif","12"
"1.11.1","ocr_optr","35"
"1.11.1","dcs_stmt","2"
"1.11.1","uncond_num","0"
"1.11.1","prg_lv","0"
"1.11.1","prg_time","216"
"1.11.1","entry_ptr","1"
"1.11.1","cpnt_vol","299"
"1.11.1","call_num","0"
"1.11.1","dlv_bug","0"
"1.11.1","name","try_lock_fail"
"1.11.1","d_oprd","14"
"1.11.1","cpnt_len","63"
"1.12.1","avg_stmt","4"
"1.12.1","scorecard","None"
"1.12.1","exit_pnt","1"
"1.12.1","lang_scope","1"
"1.12.1","strc_lv","1"
"1.12.1","cpnt_voca","14"
"1.12.1","itg_con","24"
"1.12.1","ocr_oprd","7"
"1.12.1","d_optr","6"
"1.12.1","cpnt_eff","169"
"1.12.1","param_num","0"
"1.12.1","stmt_num","4"
"1.12.1","callby_num","0"
"1.12.1","id","1031"
"1.12.1","file_id","399"
"1.12.1","goto_num","0"
"1.12.1","cyclomatic","1"
"1.12.1","prg_dif","2"
"1.12.1","ocr_optr","10"
"1.12.1","dcs_stmt","0"
"1.12.1","uncond_num","0"
"1.12.1","prg_lv","0"
"1.12.1","prg_time","9"
"1.12.1","entry_ptr","1"
"1.12.1","cpnt_vol","64"
"1.12.1","call_num","0"
"1.12.1","dlv_bug","0"
"1.12.1","name","func"
"1.12.1","d_oprd","8"
"1.12.1","cpnt_len","17"
"1.13.1","avg_stmt","1"
"1.13.1","scorecard","None"
"1.13.1","exit_pnt","1"
"1.13.1","lang_scope","1"
"1.13.1","strc_lv","1"
"1.13.1","cpnt_voca","1"
"1.13.1","itg_con","0"
"1.13.1","ocr_oprd","0"
"1.13.1","d_optr","1"
"1.13.1","cpnt_eff","0"
"1.13.1","param_num","0"
"1.13.1","stmt_num","1"
"1.13.1","callby_num","0"
"1.13.1","id","1032"
"1.13.1","file_id","400"
"1.13.1","goto_num","0"
"1.13.1","cyclomatic","1"
"1.13.1","prg_dif","0"
"1.13.1","ocr_optr","1"
"1.13.1","dcs_stmt","0"
"1.13.1","uncond_num","0"
"1.13.1","prg_lv","0"
"1.13.1","prg_time","0"
"1.13.1","entry_ptr","1"
"1.13.1","cpnt_vol","0"
"1.13.1","call_num","0"
"1.13.1","dlv_bug","0"
"1.13.1","name","func"
"1.13.1","d_oprd","0"
"1.13.1","cpnt_len","1"
"1.14.1","avg_stmt","2"
"1.14.1","scorecard","None"
"1.14.1","exit_pnt","1"
"1.14.1","lang_scope","1"
"1.14.1","strc_lv","1"
"1.14.1","cpnt_voca","10"
"1.14.1","itg_con","86"
"1.14.1","ocr_oprd","4"
"1.14.1","d_optr","2"
"1.14.1","cpnt_eff","21"
"1.14.1","param_num","0"
"1.14.1","stmt_num","5"
"1.14.1","callby_num","0"
"1.14.1","id","1033"
"1.14.1","file_id","401"
"1.14.1","goto_num","0"
"1.14.1","cyclomatic","1"
"1.14.1","prg_dif","0"
"1.14.1","ocr_optr","9"
"1.14.1","dcs_stmt","0"
"1.14.1","uncond_num","0"
"1.14.1","prg_lv","2"
"1.14.1","prg_time","1"
"1.14.1","entry_ptr","1"
"1.14.1","cpnt_vol","43"
"1.14.1","call_num","0"
"1.14.1","dlv_bug","0"
"1.14.1","name","badFoo"
"1.14.1","d_oprd","8"
"1.14.1","cpnt_len","13"
"1.14.2","avg_stmt","2"
"1.14.2","scorecard","None"
"1.14.2","exit_pnt","1"
"1.14.2","lang_scope","1"
"1.14.2","strc_lv","1"
"1.14.2","cpnt_voca","8"
"1.14.2","itg_con","60"
"1.14.2","ocr_oprd","3"
"1.14.2","d_optr","2"
"1.14.2","cpnt_eff","15"
"1.14.2","param_num","0"
"1.14.2","stmt_num","4"
"1.14.2","callby_num","0"
"1.14.2","id","1034"
"1.14.2","file_id","401"
"1.14.2","goto_num","0"
"1.14.2","cyclomatic","1"
"1.14.2","prg_dif","0"
"1.14.2","ocr_optr","7"
"1.14.2","dcs_stmt","0"
"1.14.2","uncond_num","0"
"1.14.2","prg_lv","2"
"1.14.2","prg_time","0"
"1.14.2","entry_ptr","1"
"1.14.2","cpnt_vol","30"
"1.14.2","call_num","0"
"1.14.2","dlv_bug","0"
"1.14.2","name","goodFoo"
"1.14.2","d_oprd","6"
"1.14.2","cpnt_len","10"
"1.15.1","avg_stmt","5"
"1.15.1","scorecard","None"
"1.15.1","exit_pnt","1"
"1.15.1","lang_scope","1"
"1.15.1","strc_lv","1"
"1.15.1","cpnt_voca","11"
"1.15.1","itg_con","22"
"1.15.1","ocr_oprd","6"
"1.15.1","d_optr","5"
"1.15.1","cpnt_eff","138"
"1.15.1","param_num","0"
"1.15.1","stmt_num","3"
"1.15.1","callby_num","0"
"1.15.1","id","1035"
"1.15.1","file_id","402"
"1.15.1","goto_num","0"
"1.15.1","cyclomatic","1"
"1.15.1","prg_dif","2"
"1.15.1","ocr_optr","10"
"1.15.1","dcs_stmt","0"
"1.15.1","uncond_num","0"
"1.15.1","prg_lv","0"
"1.15.1","prg_time","7"
"1.15.1","entry_ptr","1"
"1.15.1","cpnt_vol","55"
"1.15.1","call_num","0"
"1.15.1","dlv_bug","0"
"1.15.1","name","getMax"
"1.15.1","d_oprd","6"
"1.15.1","cpnt_len","16"
"1.16.1","avg_stmt","3"
"1.16.1","scorecard","None"
"1.16.1","exit_pnt","1"
"1.16.1","lang_scope","1"
"1.16.1","strc_lv","1"
"1.16.1","cpnt_voca","3"
"1.16.1","itg_con","0"
"1.16.1","ocr_oprd","0"
"1.16.1","d_optr","3"
"1.16.1","cpnt_eff","0"
"1.16.1","param_num","0"
"1.16.1","stmt_num","1"
"1.16.1","callby_num","0"
"1.16.1","id","1036"
"1.16.1","file_id","403"
"1.16.1","goto_num","0"
"1.16.1","cyclomatic","1"
"1.16.1","prg_dif","0"
"1.16.1","ocr_optr","3"
"1.16.1","dcs_stmt","0"
"1.16.1","uncond_num","0"
"1.16.1","prg_lv","0"
"1.16.1","prg_time","0"
"1.16.1","entry_ptr","1"
"1.16.1","cpnt_vol","4"
"1.16.1","call_num","0"
"1.16.1","dlv_bug","0"
"1.16.1","name","testFunc_A"
"1.16.1","d_oprd","0"
"1.16.1","cpnt_len","3"
"1.17.1","avg_stmt","3"
"1.17.1","scorecard","None"
"1.17.1","exit_pnt","1"
"1.17.1","lang_scope","1"
"1.17.1","strc_lv","1"
"1.17.1","cpnt_voca","3"
"1.17.1","itg_con","0"
"1.17.1","ocr_oprd","0"
"1.17.1","d_optr","3"
"1.17.1","cpnt_eff","0"
"1.17.1","param_num","0"
"1.17.1","stmt_num","1"
"1.17.1","callby_num","0"
"1.17.1","id","1037"
"1.17.1","file_id","404"
"1.17.1","goto_num","0"
"1.17.1","cyclomatic","1"
"1.17.1","prg_dif","0"
"1.17.1","ocr_optr","3"
"1.17.1","dcs_stmt","0"
"1.17.1","uncond_num","0"
"1.17.1","prg_lv","0"
"1.17.1","prg_time","0"
"1.17.1","entry_ptr","1"
"1.17.1","cpnt_vol","4"
"1.17.1","call_num","0"
"1.17.1","dlv_bug","0"
"1.17.1","name","testFunc_B"
"1.17.1","d_oprd","0"
"1.17.1","cpnt_len","3"
"1.18.1","avg_stmt","1"
"1.18.1","scorecard","None"
"1.18.1","exit_pnt","1"
"1.18.1","lang_scope","1"
"1.18.1","strc_lv","1"
"1.18.1","cpnt_voca","1"
"1.18.1","itg_con","0"
"1.18.1","ocr_oprd","0"
"1.18.1","d_optr","1"
"1.18.1","cpnt_eff","0"
"1.18.1","param_num","0"
"1.18.1","stmt_num","1"
"1.18.1","callby_num","0"
"1.18.1","id","1038"
"1.18.1","file_id","405"
"1.18.1","goto_num","0"
"1.18.1","cyclomatic","1"
"1.18.1","prg_dif","0"
"1.18.1","ocr_optr","1"
"1.18.1","dcs_stmt","0"
"1.18.1","uncond_num","0"
"1.18.1","prg_lv","0"
"1.18.1","prg_time","0"
"1.18.1","entry_ptr","1"
"1.18.1","cpnt_vol","0"
"1.18.1","call_num","0"
"1.18.1","dlv_bug","0"
"1.18.1","name","func"
"1.18.1","d_oprd","0"
"1.18.1","cpnt_len","1"
"1.19.1","avg_stmt","1"
"1.19.1","scorecard","None"
"1.19.1","exit_pnt","1"
"1.19.1","lang_scope","0"
"1.19.1","strc_lv","1"
"1.19.1","cpnt_voca","9"
"1.19.1","itg_con","7"
"1.19.1","ocr_oprd","2"
"1.19.1","d_optr","6"
"1.19.1","cpnt_eff","31"
"1.19.1","param_num","1"
"1.19.1","stmt_num","3"
"1.19.1","callby_num","0"
"1.19.1","id","1039"
"1.19.1","file_id","406"
"1.19.1","goto_num","0"
"1.19.1","cyclomatic","1"
"1.19.1","prg_dif","2"
"1.19.1","ocr_optr","3"
"1.19.1","dcs_stmt","0"
"1.19.1","uncond_num","0"
"1.19.1","prg_lv","0"
"1.19.1","prg_time","1"
"1.19.1","entry_ptr","1"
"1.19.1","cpnt_vol","15"
"1.19.1","call_num","0"
"1.19.1","dlv_bug","0"
"1.19.1","name","Func"
"1.19.1","d_oprd","3"
"1.19.1","cpnt_len","5"
"1.20.1","avg_stmt","1"
"1.20.1","scorecard","None"
"1.20.1","exit_pnt","3"
"1.20.1","lang_scope","1"
"1.20.1","strc_lv","2"
"1.20.1","cpnt_voca","9"
"1.20.1","itg_con","16"
"1.20.1","ocr_oprd","4"
"1.20.1","d_optr","5"
"1.20.1","cpnt_eff","103"
"1.20.1","param_num","1"
"1.20.1","stmt_num","10"
"1.20.1","callby_num","0"
"1.20.1","id","1040"
"1.20.1","file_id","407"
"1.20.1","goto_num","0"
"1.20.1","cyclomatic","6"
"1.20.1","prg_dif","2"
"1.20.1","ocr_optr","9"
"1.20.1","dcs_stmt","5"
"1.20.1","uncond_num","0"
"1.20.1","prg_lv","0"
"1.20.1","prg_time","5"
"1.20.1","entry_ptr","1"
"1.20.1","cpnt_vol","41"
"1.20.1","call_num","0"
"1.20.1","dlv_bug","0"
"1.20.1","name","order"
"1.20.1","d_oprd","4"
"1.20.1","cpnt_len","13"
"1.20.2","avg_stmt","3"
"1.20.2","scorecard","None"
"1.20.2","exit_pnt","4"
"1.20.2","lang_scope","3"
"1.20.2","strc_lv","4"
"1.20.2","cpnt_voca","12"
"1.20.2","itg_con","9"
"1.20.2","ocr_oprd","11"
"1.20.2","d_optr","9"
"1.20.2","cpnt_eff","2484"
"1.20.2","param_num","1"
"1.20.2","stmt_num","11"
"1.20.2","callby_num","0"
"1.20.2","id","1041"
"1.20.2","file_id","407"
"1.20.2","goto_num","0"
"1.20.2","cyclomatic","7"
"1.20.2","prg_dif","16"
"1.20.2","ocr_optr","31"
"1.20.2","dcs_stmt","6"
"1.20.2","uncond_num","0"
"1.20.2","prg_lv","0"
"1.20.2","prg_time","138"
"1.20.2","entry_ptr","1"
"1.20.2","cpnt_vol","150"
"1.20.2","call_num","0"
"1.20.2","dlv_bug","0"
"1.20.2","name","another"
"1.20.2","d_oprd","3"
"1.20.2","cpnt_len","42"
"1.21.1","avg_stmt","3"
"1.21.1","scorecard","None"
"1.21.1","exit_pnt","1"
"1.21.1","lang_scope","1"
"1.21.1","strc_lv","1"
"1.21.1","cpnt_voca","3"
"1.21.1","itg_con","0"
"1.21.1","ocr_oprd","0"
"1.21.1","d_optr","3"
"1.21.1","cpnt_eff","0"
"1.21.1","param_num","0"
"1.21.1","stmt_num","1"
"1.21.1","callby_num","0"
"1.21.1","id","1042"
"1.21.1","file_id","408"
"1.21.1","goto_num","0"
"1.21.1","cyclomatic","1"
"1.21.1","prg_dif","0"
"1.21.1","ocr_optr","3"
"1.21.1","dcs_stmt","0"
"1.21.1","uncond_num","0"
"1.21.1","prg_lv","0"
"1.21.1","prg_time","0"
"1.21.1","entry_ptr","1"
"1.21.1","cpnt_vol","4"
"1.21.1","call_num","0"
"1.21.1","dlv_bug","0"
"1.21.1","name","anotherTestFunc"
"1.21.1","d_oprd","0"
"1.21.1","cpnt_len","3"
"1.22.1","avg_stmt","3"
"1.22.1","scorecard","None"
"1.22.1","exit_pnt","1"
"1.22.1","lang_scope","1"
"1.22.1","strc_lv","1"
"1.22.1","cpnt_voca","3"
"1.22.1","itg_con","0"
"1.22.1","ocr_oprd","0"
"1.22.1","d_optr","3"
"1.22.1","cpnt_eff","0"
"1.22.1","param_num","0"
"1.22.1","stmt_num","1"
"1.22.1","callby_num","0"
"1.22.1","id","1043"
"1.22.1","file_id","409"
"1.22.1","goto_num","0"
"1.22.1","cyclomatic","1"
"1.22.1","prg_dif","0"
"1.22.1","ocr_optr","3"
"1.22.1","dcs_stmt","0"
"1.22.1","uncond_num","0"
"1.22.1","prg_lv","0"
"1.22.1","prg_time","0"
"1.22.1","entry_ptr","1"
"1.22.1","cpnt_vol","4"
"1.22.1","call_num","0"
"1.22.1","dlv_bug","0"
"1.22.1","name","testFunc"
"1.22.1","d_oprd","0"
"1.22.1","cpnt_len","3"
"1.23.1","avg_stmt","2"
"1.23.1","scorecard","None"
"1.23.1","exit_pnt","1"
"1.23.1","lang_scope","1"
"1.23.1","strc_lv","1"
"1.23.1","cpnt_voca","4"
"1.23.1","itg_con","16"
"1.23.1","ocr_oprd","1"
"1.23.1","d_optr","2"
"1.23.1","cpnt_eff","4"
"1.23.1","param_num","1"
"1.23.1","stmt_num","2"
"1.23.1","callby_num","0"
"1.23.1","id","1044"
"1.23.1","file_id","410"
"1.23.1","goto_num","0"
"1.23.1","cyclomatic","1"
"1.23.1","prg_dif","0"
"1.23.1","ocr_optr","3"
"1.23.1","dcs_stmt","0"
"1.23.1","uncond_num","0"
"1.23.1","prg_lv","2"
"1.23.1","prg_time","0"
"1.23.1","entry_ptr","1"
"1.23.1","cpnt_vol","8"
"1.23.1","call_num","0"
"1.23.1","dlv_bug","0"
"1.23.1","name","badFoo"
"1.23.1","d_oprd","2"
"1.23.1","cpnt_len","4"
"1.23.2","avg_stmt","2"
"1.23.2","scorecard","None"
"1.23.2","exit_pnt","1"
"1.23.2","lang_scope","1"
"1.23.2","strc_lv","1"
"1.23.2","cpnt_voca","4"
"1.23.2","itg_con","16"
"1.23.2","ocr_oprd","1"
"1.23.2","d_optr","2"
"1.23.2","cpnt_eff","4"
"1.23.2","param_num","1"
"1.23.2","stmt_num","2"
"1.23.2","callby_num","0"
"1.23.2","id","1045"
"1.23.2","file_id","410"
"1.23.2","goto_num","0"
"1.23.2","cyclomatic","1"
"1.23.2","prg_dif","0"
"1.23.2","ocr_optr","3"
"1.23.2","dcs_stmt","0"
"1.23.2","uncond_num","0"
"1.23.2","prg_lv","2"
"1.23.2","prg_time","0"
"1.23.2","entry_ptr","1"
"1.23.2","cpnt_vol","8"
"1.23.2","call_num","0"
"1.23.2","dlv_bug","0"
"1.23.2","name","goodFoo"
"1.23.2","d_oprd","2"
"1.23.2","cpnt_len","4"
"1.24.1","avg_stmt","2"
"1.24.1","scorecard","None"
"1.24.1","exit_pnt","1"
"1.24.1","lang_scope","0"
"1.24.1","strc_lv","2"
"1.24.1","cpnt_voca","9"
"1.24.1","itg_con","4"
"1.24.1","ocr_oprd","3"
"1.24.1","d_optr","7"
"1.24.1","cpnt_eff","133"
"1.24.1","param_num","1"
"1.24.1","stmt_num","3"
"1.24.1","callby_num","0"
"1.24.1","id","1046"
"1.24.1","file_id","411"
"1.24.1","goto_num","0"
"1.24.1","cyclomatic","3"
"1.24.1","prg_dif","5"
"1.24.1","ocr_optr","5"
"1.24.1","dcs_stmt","2"
"1.24.1","uncond_num","0"
"1.24.1","prg_lv","0"
"1.24.1","prg_time","7"
"1.24.1","entry_ptr","1"
"1.24.1","cpnt_vol","25"
"1.24.1","call_num","0"
"1.24.1","dlv_bug","0"
"1.24.1","name","terminate_tp"
"1.24.1","d_oprd","2"
"1.24.1","cpnt_len","8"
"1.25.1","avg_stmt","0"
